'meeting_id';'meeting_date';'attendee_id'
27723;'1983-07-22 04:00:00';1295
27724;'2006-03-13 02:00:00';2004
27725;'1990-01-08 02:00:00';4185
27726;'1979-03-30 03:00:00';7648
27727;'1970-12-06 03:00:00';7754
27728;'2012-06-20 03:00:00';8358
27729;'1991-03-16 02:00:00';9952
27730;'2015-08-07 02:00:00';7485
27731;'2005-12-08 02:00:00';753
27732;'2010-12-29 02:00:00';4512
27733;'2004-01-08 02:00:00';2444
27734;'1972-08-03 03:00:00';7046
27735;'1980-10-09 03:00:00';4503
27736;'1994-06-01 03:00:00';5184
27737;'1975-10-22 03:00:00';6074
27738;'1987-03-06 03:00:00';3166
27739;'2006-02-04 02:00:00';5639
27740;'1994-05-31 03:00:00';782
27741;'2013-10-06 03:00:00';8981
27742;'1991-07-13 03:00:00';2018
27743;'2008-06-22 03:00:00';7368
27744;'2013-10-16 03:00:00';5197
27745;'1997-10-24 03:00:00';4366
27746;'1984-12-31 03:00:00';1930
27747;'2004-11-30 02:00:00';4216
27748;'1979-11-16 03:00:00';8776
27749;'2003-05-11 03:00:00';9507
27750;'2000-03-04 02:00:00';9574
27751;'2001-12-29 02:00:00';7730
27752;'1976-02-24 03:00:00';631
27753;'2003-09-25 03:00:00';5514
27754;'2009-12-16 02:00:00';6418
27755;'1993-08-15 03:00:00';3738
27756;'1976-01-02 03:00:00';698
27757;'1976-12-18 03:00:00';9092
27758;'1989-06-24 03:00:00';4756
27759;'2016-08-20 02:00:00';9212
27760;'1994-09-21 03:00:00';1850
27761;'1993-12-14 02:00:00';5293
27762;'1993-09-29 02:00:00';1771
27763;'2001-12-09 02:00:00';5122
27764;'1973-07-14 03:00:00';8732
27765;'1983-05-01 04:00:00';1400
27766;'1997-12-13 02:00:00';9407
27767;'2008-04-18 03:00:00';29
27768;'2009-02-18 02:00:00';2687
27769;'2012-07-27 03:00:00';8036
27770;'2017-04-03 02:00:00';7477
27771;'2009-04-25 03:00:00';7769
27772;'2010-06-21 03:00:00';4346
27773;'1991-10-13 02:00:00';5179
27774;'1977-05-23 03:00:00';3498
27775;'1977-11-28 03:00:00';3963
27776;'2014-09-02 03:00:00';6113
27777;'2007-06-28 03:00:00';5680
27778;'1990-06-27 03:00:00';7285
27779;'1997-07-05 03:00:00';6468
27780;'1998-06-26 03:00:00';1231
27781;'1985-11-30 03:00:00';5982
27782;'1977-04-12 03:00:00';6935
27783;'2014-02-27 03:00:00';1772
27784;'1984-01-14 03:00:00';731
27785;'2006-01-11 02:00:00';9357
27786;'1986-08-17 04:00:00';3035
27787;'1978-07-10 03:00:00';4905
27788;'1990-02-10 02:00:00';4405
27789;'2016-07-05 02:00:00';8174
27790;'1972-03-17 03:00:00';4504
27791;'1984-11-06 03:00:00';4120
27792;'1982-04-12 04:00:00';5575
27793;'1997-10-21 03:00:00';4859
27794;'2010-12-02 02:00:00';3452
27795;'1995-12-23 02:00:00';3184
27796;'2010-01-23 02:00:00';1606
27797;'1987-09-18 04:00:00';6778
27798;'1991-02-16 02:00:00';992
27799;'2009-06-21 03:00:00';1540
27800;'1986-02-26 03:00:00';6367
27801;'1992-06-20 03:00:00';6297
27802;'2004-04-24 03:00:00';7592
27803;'1987-02-02 03:00:00';9583
27804;'1975-11-27 03:00:00';8860
27805;'2006-11-26 02:00:00';8064
27806;'2001-12-19 02:00:00';3794
27807;'1984-06-26 04:00:00';8695
27808;'2009-09-02 03:00:00';5231
27809;'2014-06-22 03:00:00';8388
27810;'2010-02-25 02:00:00';7444
27811;'1994-07-24 03:00:00';1772
27812;'2001-09-12 03:00:00';755
27813;'1977-10-24 03:00:00';7280
27814;'2008-04-07 03:00:00';5263
27815;'1978-08-10 03:00:00';519
27816;'1971-04-24 03:00:00';9776
27817;'1997-06-27 03:00:00';5179
27818;'1982-02-06 03:00:00';2144
27819;'1975-09-08 03:00:00';1549
27820;'1998-11-23 02:00:00';4533
27821;'2013-10-26 03:00:00';9926
27822;'1999-07-08 03:00:00';6091
27823;'1982-11-24 03:00:00';7308
27824;'1974-10-12 03:00:00';8909
27825;'1997-02-01 02:00:00';8637
27826;'1989-08-01 03:00:00';4848
27827;'2006-08-29 03:00:00';6618
27828;'1990-09-05 03:00:00';7789
27829;'1988-12-11 03:00:00';9507
27830;'2009-08-30 03:00:00';7048
27831;'1976-12-27 03:00:00';1819
27832;'2015-02-14 02:00:00';3361
27833;'1988-07-05 04:00:00';4600
27834;'2006-11-19 02:00:00';6167
27835;'1975-01-18 03:00:00';1385
27836;'1981-02-20 03:00:00';7876
27837;'1974-08-27 03:00:00';3364
27838;'1998-07-03 03:00:00';9753
27839;'1983-04-20 04:00:00';107
27840;'1995-03-22 02:00:00';662
27841;'2016-01-27 02:00:00';1610
27842;'1983-05-14 04:00:00';7398
27843;'1982-02-18 03:00:00';7664
27844;'2015-03-24 02:00:00';6389
27845;'2017-07-06 02:00:00';6200
27846;'2001-04-12 03:00:00';1039
27847;'2004-04-06 03:00:00';1795
27848;'2010-05-01 03:00:00';7351
27849;'1991-11-24 02:00:00';3571
27850;'2015-03-05 02:00:00';8240
27851;'2009-05-20 03:00:00';5574
27852;'1986-07-10 04:00:00';4188
27853;'1978-09-17 03:00:00';13
27854;'1983-04-18 04:00:00';446
27855;'1980-03-15 03:00:00';616
27856;'2003-08-27 03:00:00';2670
27857;'1989-01-31 03:00:00';5457
27858;'1999-09-20 03:00:00';3897
27859;'2014-06-28 03:00:00';5441
27860;'1994-05-03 03:00:00';3089
27861;'1983-12-15 03:00:00';8211
27862;'1979-09-05 03:00:00';184
27863;'1988-05-10 04:00:00';4531
27864;'1985-04-09 04:00:00';3637
27865;'2015-06-29 02:00:00';6737
27866;'2013-03-31 03:00:00';2801
27867;'1996-05-01 03:00:00';5400
27868;'1973-09-10 03:00:00';5873
27869;'1996-04-01 03:00:00';3638
27870;'1996-04-02 03:00:00';8928
27871;'1973-04-22 03:00:00';3592
27872;'2010-03-18 02:00:00';535
27873;'1989-11-18 02:00:00';4260
27874;'1987-06-08 04:00:00';4412
27875;'1998-10-25 02:00:00';9346
27876;'1986-04-07 04:00:00';7381
27877;'1974-11-02 03:00:00';3639
27878;'2013-04-05 03:00:00';6839
27879;'1972-12-08 03:00:00';7519
27880;'1999-05-23 03:00:00';5215
27881;'2000-11-24 02:00:00';1318
27882;'2003-11-28 02:00:00';3644
27883;'1999-10-22 03:00:00';6212
27884;'1988-05-12 04:00:00';2632
27885;'1997-04-05 03:00:00';4643
27886;'1988-10-03 03:00:00';6753
27887;'2006-08-14 03:00:00';2158
27888;'2013-07-22 03:00:00';2264
27889;'2016-01-07 02:00:00';3527
27890;'2004-03-30 03:00:00';7796
27891;'1997-07-28 03:00:00';2469
27892;'1989-10-24 02:00:00';7508
27893;'1972-06-05 03:00:00';6761
27894;'1978-11-16 03:00:00';5600
27895;'1992-02-03 02:00:00';8475
27896;'1992-01-17 02:00:00';7386
27897;'1985-04-20 04:00:00';1126
27898;'1970-08-20 03:00:00';9911
27899;'1971-06-02 03:00:00';4284
27900;'1997-12-23 02:00:00';9060
27901;'1988-07-23 04:00:00';8935
27902;'1988-06-29 04:00:00';2438
27903;'2005-07-21 03:00:00';2526
27904;'1987-04-23 04:00:00';2738
27905;'2000-12-24 02:00:00';960
27906;'1975-04-19 03:00:00';1526
27907;'1975-09-25 03:00:00';5888
27908;'1973-02-05 03:00:00';5266
27909;'2003-07-15 03:00:00';3292
27910;'1980-11-12 03:00:00';9254
27911;'2008-02-04 02:00:00';3484
27912;'1977-05-06 03:00:00';4682
27913;'2001-03-13 02:00:00';5956
27914;'1989-03-16 03:00:00';8004
27915;'2010-05-21 03:00:00';2166
27916;'2017-02-10 02:00:00';5945
27917;'2005-08-11 03:00:00';3095
27918;'1993-09-13 03:00:00';1779
27919;'2004-02-28 02:00:00';8252
27920;'1992-03-01 02:00:00';1067
27921;'1983-12-01 03:00:00';801
27922;'2001-07-24 03:00:00';9332
27923;'2016-06-29 02:00:00';8693
27924;'2014-10-14 03:00:00';6484
27925;'2017-03-03 02:00:00';7206
27926;'1979-05-09 03:00:00';8991
27927;'2002-03-01 02:00:00';3572
27928;'1998-07-14 03:00:00';3201
27929;'2008-10-24 03:00:00';1701
27930;'2009-07-04 03:00:00';9512
27931;'1980-02-13 03:00:00';9733
27932;'1990-03-27 03:00:00';2492
27933;'2000-03-26 03:00:00';2951
27934;'1984-05-16 04:00:00';4284
27935;'1979-06-20 03:00:00';8300
27936;'1970-06-10 03:00:00';8967
27937;'1982-03-21 03:00:00';7934
27938;'1974-11-12 03:00:00';3043
27939;'1984-11-17 03:00:00';2890
27940;'1979-09-10 03:00:00';8749
27941;'1999-01-09 02:00:00';5641
27942;'1985-11-20 03:00:00';9613
27943;'1985-04-19 04:00:00';4377
27944;'1987-11-25 03:00:00';1253
27945;'2004-04-09 03:00:00';4892
27946;'1997-09-21 03:00:00';3303
27947;'1982-11-11 03:00:00';205
27948;'1970-10-09 03:00:00';3312
27949;'1997-05-03 03:00:00';4810
27950;'1988-10-15 03:00:00';3637
27951;'1977-09-03 03:00:00';1810
27952;'1980-09-15 03:00:00';6344
27953;'1982-05-27 04:00:00';8269
27954;'1978-08-09 03:00:00';3159
27955;'1975-01-14 03:00:00';8626
27956;'1985-11-23 03:00:00';3873
27957;'1994-06-02 03:00:00';2793
27958;'1976-03-28 03:00:00';9014
27959;'1996-06-03 03:00:00';590
27960;'2014-10-13 03:00:00';1882
27961;'2003-03-31 03:00:00';8910
27962;'2015-04-20 02:00:00';3621
27963;'2008-08-07 03:00:00';4578
27964;'1987-06-18 04:00:00';810
27965;'1998-10-22 03:00:00';7397
27966;'1980-10-02 03:00:00';4274
27967;'2015-12-03 02:00:00';2339
27968;'1991-04-19 03:00:00';1700
27969;'2004-03-22 02:00:00';5344
27970;'2000-09-15 03:00:00';4452
27971;'1978-01-27 03:00:00';6049
27972;'2010-08-12 03:00:00';1253
27973;'2011-08-29 03:00:00';8123
27974;'2002-12-23 02:00:00';892
27975;'2006-08-21 03:00:00';8087
27976;'1998-07-27 03:00:00';995
27977;'1981-07-06 04:00:00';2735
27978;'2015-09-01 02:00:00';6950
27979;'1998-08-10 03:00:00';5480
27980;'1985-04-18 04:00:00';5037
27981;'2013-04-24 03:00:00';6443
27982;'2017-05-29 02:00:00';6583
27983;'2014-12-01 02:00:00';3265
27984;'1979-04-03 03:00:00';4319
27985;'1996-12-02 02:00:00';4043
27986;'1997-04-02 03:00:00';8542
27987;'1985-08-28 04:00:00';4796
27988;'1984-06-17 04:00:00';8669
27989;'2013-06-05 03:00:00';9075
27990;'1985-11-11 03:00:00';7956
27991;'2001-08-12 03:00:00';3544
27992;'2006-03-17 02:00:00';2788
27993;'1980-01-06 03:00:00';1490
27994;'2007-01-21 02:00:00';7454
27995;'1998-02-19 02:00:00';5923
27996;'1998-02-18 02:00:00';4478
27997;'1984-10-06 03:00:00';6338
27998;'1980-05-17 03:00:00';919
27999;'2000-12-24 02:00:00';3490
28000;'1980-12-22 03:00:00';6556
28001;'2010-09-26 03:00:00';3235
28002;'2006-06-16 03:00:00';5144
28003;'1996-01-04 02:00:00';7397
28004;'2006-09-03 03:00:00';7627
28005;'1985-01-31 03:00:00';1765
28006;'1982-09-09 04:00:00';258
28007;'1975-09-04 03:00:00';4438
28008;'1997-11-04 02:00:00';2530
28009;'1973-03-13 03:00:00';349
28010;'2003-04-11 03:00:00';8608
28011;'1971-08-23 03:00:00';4648
28012;'2017-01-20 02:00:00';8768
28013;'2001-02-03 02:00:00';3483
28014;'1978-06-24 03:00:00';3896
28015;'1991-01-09 02:00:00';4425
28016;'2013-05-18 03:00:00';8047
28017;'1973-03-03 03:00:00';1996
28018;'1984-08-23 04:00:00';8408
28019;'1992-09-14 03:00:00';6674
28020;'2010-06-02 03:00:00';9797
28021;'1978-09-22 03:00:00';2404
28022;'2017-04-04 02:00:00';490
28023;'1980-07-25 03:00:00';5715
28024;'1974-08-19 03:00:00';2176
28025;'1997-04-08 03:00:00';5633
28026;'1981-05-16 04:00:00';3410
28027;'1982-03-15 03:00:00';8250
28028;'1986-08-13 04:00:00';9639
28029;'1983-07-05 04:00:00';3197
28030;'1974-12-08 03:00:00';2540
28031;'2003-10-27 02:00:00';6330
28032;'1991-08-27 03:00:00';13
28033;'2004-06-05 03:00:00';5578
28034;'1976-02-02 03:00:00';7456
28035;'2016-08-27 02:00:00';9750
28036;'2017-09-03 02:00:00';2575
28037;'1984-04-30 04:00:00';8709
28038;'1992-01-31 02:00:00';2400
28039;'2015-09-28 02:00:00';9429
28040;'1992-09-30 02:00:00';4290
28041;'1974-05-16 03:00:00';357
28042;'2006-02-02 02:00:00';9702
28043;'1974-06-26 03:00:00';8956
28044;'1985-01-19 03:00:00';8392
28045;'2004-01-21 02:00:00';5482
28046;'1983-06-20 04:00:00';6264
28047;'2001-02-19 02:00:00';7706
28048;'2005-10-10 03:00:00';1482
28049;'1975-07-04 03:00:00';2256
28050;'1979-07-10 03:00:00';4726
28051;'2008-10-25 03:00:00';6997
28052;'1970-07-21 03:00:00';8316
28053;'2015-04-28 02:00:00';9211
28054;'1983-05-02 04:00:00';1704
28055;'1973-05-08 03:00:00';8463
28056;'2007-02-03 02:00:00';2317
28057;'1984-09-17 04:00:00';5883
28058;'1971-02-12 03:00:00';6098
28059;'1989-04-14 03:00:00';2837
28060;'1974-01-01 03:00:00';646
28061;'1999-06-22 03:00:00';9751
28062;'1977-04-11 03:00:00';2929
28063;'2016-12-08 02:00:00';4971
28064;'2004-05-17 03:00:00';6424
28065;'1998-05-16 03:00:00';9923
28066;'1977-05-08 03:00:00';3916
28067;'2009-12-13 02:00:00';3011
28068;'2003-05-10 03:00:00';6480
28069;'1995-11-13 02:00:00';668
28070;'2003-02-01 02:00:00';2005
28071;'1977-07-25 03:00:00';6741
28072;'1976-12-04 03:00:00';1045
28073;'2015-09-21 02:00:00';9911
28074;'1987-01-17 03:00:00';2888
28075;'2015-05-06 02:00:00';950
28076;'1973-07-02 03:00:00';3029
28077;'1984-04-11 04:00:00';9495
28078;'1982-05-14 04:00:00';7433
28079;'1989-01-29 03:00:00';7091
28080;'1974-10-19 03:00:00';3757
28081;'1976-05-15 03:00:00';8967
28082;'2009-07-17 03:00:00';3975
28083;'1987-11-24 03:00:00';7108
28084;'2013-05-08 03:00:00';3088
28085;'2014-02-25 03:00:00';1737
28086;'1975-06-14 03:00:00';381
28087;'1978-11-03 03:00:00';1771
28088;'1975-03-01 03:00:00';3420
28089;'1973-12-07 03:00:00';4239
28090;'1970-10-09 03:00:00';5437
28091;'1991-12-25 02:00:00';5396
28092;'2005-09-12 03:00:00';6330
28093;'1971-08-14 03:00:00';3072
28094;'2012-11-21 03:00:00';629
28095;'2006-06-11 03:00:00';8597
28096;'1993-08-09 03:00:00';9325
28097;'2008-03-06 02:00:00';5967
28098;'1986-06-12 04:00:00';8108
28099;'1982-09-06 04:00:00';9500
28100;'2014-07-31 03:00:00';9311
28101;'2004-03-01 02:00:00';41
28102;'1971-05-16 03:00:00';6211
28103;'1995-01-18 02:00:00';5558
28104;'1987-02-10 03:00:00';3912
28105;'2007-05-20 03:00:00';8837
28106;'1971-06-01 03:00:00';4325
28107;'1993-07-19 03:00:00';5732
28108;'1998-01-20 02:00:00';5049
28109;'2000-06-17 03:00:00';4435
28110;'1994-05-30 03:00:00';4409
28111;'1997-07-29 03:00:00';2020
28112;'1990-04-14 03:00:00';5082
28113;'1975-06-03 03:00:00';4368
28114;'2006-07-03 03:00:00';701
28115;'1980-02-12 03:00:00';1456
28116;'2003-09-12 03:00:00';7506
28117;'1981-06-27 04:00:00';1022
28118;'1992-03-13 02:00:00';9674
28119;'1983-08-14 04:00:00';4888
28120;'1999-02-05 02:00:00';1869
28121;'1973-10-14 03:00:00';1117
28122;'2009-03-02 02:00:00';2564
28123;'1975-05-05 03:00:00';5560
28124;'1982-11-04 03:00:00';1653
28125;'2010-12-12 02:00:00';9991
28126;'1997-10-06 03:00:00';4537
28127;'2017-02-06 02:00:00';3447
28128;'2007-03-19 02:00:00';1211
28129;'1986-08-25 04:00:00';9741
28130;'1975-02-18 03:00:00';3743
28131;'2005-01-24 02:00:00';5731
28132;'2008-04-18 03:00:00';2732
28133;'1991-01-06 02:00:00';189
28134;'1995-02-24 02:00:00';2551
28135;'1976-01-28 03:00:00';1191
28136;'2012-04-17 03:00:00';478
28137;'1996-08-15 03:00:00';2461
28138;'1988-05-09 04:00:00';2270
28139;'1981-11-25 03:00:00';5030
28140;'2003-07-08 03:00:00';6290
28141;'1974-09-10 03:00:00';9038
28142;'2003-06-25 03:00:00';3992
28143;'1998-12-29 02:00:00';9231
28144;'1998-11-08 02:00:00';4609
28145;'1971-05-04 03:00:00';2027
28146;'2011-12-18 03:00:00';4805
28147;'2016-02-14 02:00:00';9225
28148;'1992-05-28 03:00:00';2529
28149;'1974-06-14 03:00:00';2569
28150;'1986-08-25 04:00:00';2335
28151;'1972-08-24 03:00:00';5045
28152;'2012-06-23 03:00:00';3967
28153;'2004-03-27 02:00:00';6279
28154;'1990-08-22 03:00:00';2055
28155;'1987-01-06 03:00:00';1745
28156;'1975-01-20 03:00:00';7556
28157;'1977-03-04 03:00:00';5869
28158;'2010-06-27 03:00:00';6892
28159;'2000-12-01 02:00:00';5713
28160;'2009-04-25 03:00:00';5730
28161;'1975-11-10 03:00:00';5886
28162;'2004-10-28 03:00:00';6405
28163;'1977-11-02 03:00:00';1318
28164;'1995-01-20 02:00:00';1366
28165;'2000-11-01 02:00:00';8375
28166;'1973-02-08 03:00:00';9588
28167;'1984-04-14 04:00:00';2968
28168;'1988-06-15 04:00:00';4869
28169;'1980-10-02 03:00:00';639
28170;'1991-04-29 03:00:00';227
28171;'2013-09-05 03:00:00';8397
28172;'2006-01-31 02:00:00';608
28173;'2002-03-22 02:00:00';743
28174;'1981-03-06 03:00:00';1160
28175;'2013-09-01 03:00:00';7522
28176;'2009-10-31 02:00:00';9090
28177;'1999-08-02 03:00:00';2745
28178;'1985-11-01 03:00:00';5986
28179;'1984-03-21 03:00:00';8894
28180;'1985-08-05 04:00:00';6046
28181;'1981-10-24 03:00:00';8459
28182;'1971-03-04 03:00:00';7675
28183;'2000-04-02 03:00:00';2628
28184;'1976-07-30 03:00:00';8707
28185;'2008-03-31 03:00:00';2427
28186;'1995-01-27 02:00:00';8709
28187;'1972-09-10 03:00:00';2462
28188;'1984-07-19 04:00:00';4442
28189;'1991-04-08 03:00:00';9937
28190;'1979-04-22 03:00:00';4351
28191;'1986-09-12 04:00:00';5220
28192;'1971-06-28 03:00:00';1988
28193;'2002-07-13 03:00:00';3538
28194;'1974-02-13 03:00:00';5391
28195;'1978-10-04 03:00:00';7173
28196;'2005-07-04 03:00:00';2142
28197;'2005-05-01 03:00:00';8808
28198;'1996-02-07 02:00:00';5736
28199;'2002-02-05 02:00:00';203
28200;'1985-07-18 04:00:00';4158
28201;'2010-06-25 03:00:00';5117
28202;'2001-09-08 03:00:00';67
28203;'1994-07-31 03:00:00';857
28204;'2004-02-05 02:00:00';2869
28205;'2003-03-23 02:00:00';5487
28206;'1973-01-06 03:00:00';4711
28207;'2005-03-03 02:00:00';6013
28208;'2001-12-18 02:00:00';8924
28209;'2014-06-05 03:00:00';2314
28210;'2017-08-22 02:00:00';6498
28211;'1986-01-13 03:00:00';8992
28212;'1979-03-20 03:00:00';1385
28213;'1977-04-27 03:00:00';4836
28214;'1974-11-23 03:00:00';7678
28215;'1998-09-20 03:00:00';5362
28216;'1986-08-16 04:00:00';6985
28217;'1989-06-17 03:00:00';793
28218;'1984-05-14 04:00:00';7951
28219;'1994-08-06 03:00:00';9361
28220;'2017-07-02 02:00:00';197
28221;'1981-03-24 03:00:00';6836
28222;'1976-08-28 03:00:00';2674
28223;'1981-08-18 04:00:00';8384
28224;'1982-04-01 04:00:00';447
28225;'1980-05-11 03:00:00';5960
28226;'1985-02-08 03:00:00';6333
28227;'2001-08-01 03:00:00';6241
28228;'2013-06-01 03:00:00';6435
28229;'2013-08-27 03:00:00';2816
28230;'1991-02-03 02:00:00';8067
28231;'1984-03-01 03:00:00';2846
28232;'1972-02-11 03:00:00';2152
28233;'2011-03-28 03:00:00';8613
28234;'1987-01-27 03:00:00';7951
28235;'1994-11-13 02:00:00';5113
28236;'2008-01-12 02:00:00';2366
28237;'2001-09-05 03:00:00';2054
28238;'2006-06-11 03:00:00';3829
28239;'2004-04-06 03:00:00';6145
28240;'1977-06-02 03:00:00';2288
28241;'1988-06-03 04:00:00';7486
28242;'2011-08-06 03:00:00';1062
28243;'2006-01-13 02:00:00';7998
28244;'1997-11-04 02:00:00';8497
28245;'1994-02-27 02:00:00';7603
28246;'1971-09-23 03:00:00';378
28247;'1998-01-18 02:00:00';2610
28248;'1992-04-04 03:00:00';8896
28249;'1985-10-18 03:00:00';1970
28250;'1998-08-18 03:00:00';2677
28251;'1977-02-14 03:00:00';359
28252;'1980-01-22 03:00:00';2789
28253;'2012-03-26 03:00:00';9190
28254;'2010-01-23 02:00:00';6100
28255;'2011-10-07 03:00:00';7365
28256;'2004-04-03 03:00:00';6227
28257;'1975-10-23 03:00:00';4609
28258;'1981-06-19 04:00:00';8511
28259;'1971-06-28 03:00:00';1626
28260;'1986-05-10 04:00:00';3126
28261;'1987-08-09 04:00:00';63
28262;'1975-04-29 03:00:00';1206
28263;'1976-10-07 03:00:00';7522
28264;'1993-11-05 02:00:00';5732
28265;'2015-08-15 02:00:00';8471
28266;'1979-08-31 03:00:00';1974
28267;'2009-10-09 03:00:00';3726
28268;'1996-02-10 02:00:00';942
28269;'1981-12-24 03:00:00';6395
28270;'1997-06-12 03:00:00';5555
28271;'1973-04-14 03:00:00';5406
28272;'2005-12-31 02:00:00';8413
28273;'1999-04-17 03:00:00';6372
28274;'1976-06-16 03:00:00';4157
28275;'1992-03-02 02:00:00';9753
28276;'1994-07-16 03:00:00';5239
28277;'1998-09-08 03:00:00';3624
28278;'2014-08-17 03:00:00';5085
28279;'1990-09-08 03:00:00';434
28280;'2007-08-22 03:00:00';1129
28281;'2005-02-12 02:00:00';1430
28282;'2017-01-01 02:00:00';9942
28283;'1981-06-24 04:00:00';2754
28284;'1993-11-14 02:00:00';7420
28285;'1989-07-24 03:00:00';2855
28286;'2016-05-22 02:00:00';9270
28287;'1995-07-01 03:00:00';3906
28288;'1989-06-04 03:00:00';7778
28289;'1975-09-29 03:00:00';5996
28290;'2010-11-30 02:00:00';9300
28291;'1975-02-18 03:00:00';8336
28292;'1982-09-15 04:00:00';7031
28293;'2013-07-13 03:00:00';7844
28294;'2006-02-15 02:00:00';7009
28295;'1991-08-30 03:00:00';9878
28296;'2016-10-23 02:00:00';1410
28297;'2007-02-27 02:00:00';5812
28298;'2005-02-13 02:00:00';5321
28299;'2004-09-02 03:00:00';4904
28300;'1978-01-01 03:00:00';4579
28301;'1985-06-06 04:00:00';7806
28302;'1984-02-09 03:00:00';4929
28303;'1986-03-30 04:00:00';1156
28304;'1970-07-01 03:00:00';7188
28305;'2009-06-28 03:00:00';3533
28306;'1985-08-16 04:00:00';1752
28307;'1994-01-16 02:00:00';4241
28308;'2001-11-08 02:00:00';5786
28309;'1981-09-17 04:00:00';949
28310;'2012-01-18 03:00:00';8408
28311;'1985-08-29 04:00:00';6770
28312;'1997-06-17 03:00:00';675
28313;'1984-10-06 03:00:00';7717
28314;'1999-07-02 03:00:00';9635
28315;'2015-11-12 02:00:00';754
28316;'1991-11-01 02:00:00';8104
28317;'1997-03-01 02:00:00';4838
28318;'1978-04-09 03:00:00';7480
28319;'2002-12-18 02:00:00';6664
28320;'2000-12-30 02:00:00';2937
28321;'2004-06-24 03:00:00';4874
28322;'1992-06-03 03:00:00';8717
28323;'2009-06-10 03:00:00';6754
28324;'2008-09-13 03:00:00';4725
28325;'1998-08-15 03:00:00';3183
28326;'1991-09-20 03:00:00';7044
28327;'1985-03-13 03:00:00';5275
28328;'1979-09-05 03:00:00';9841
28329;'2009-08-28 03:00:00';5468
28330;'2001-08-07 03:00:00';4920
28331;'1995-05-28 03:00:00';150
28332;'1981-04-20 04:00:00';5102
28333;'1980-11-10 03:00:00';2369
28334;'1996-09-15 03:00:00';2526
28335;'1986-07-23 04:00:00';5234
28336;'2009-05-13 03:00:00';7909
28337;'2006-05-31 03:00:00';6792
28338;'2003-12-11 02:00:00';9478
28339;'2016-04-01 02:00:00';230
28340;'1975-07-21 03:00:00';2795
28341;'1986-07-29 04:00:00';3592
28342;'1994-02-12 02:00:00';2250
28343;'1974-05-11 03:00:00';2915
28344;'1997-04-02 03:00:00';2159
28345;'1999-06-15 03:00:00';5198
28346;'1972-05-04 03:00:00';7579
28347;'2009-10-27 02:00:00';6887
28348;'1983-02-01 03:00:00';8537
28349;'2017-05-30 02:00:00';4963
28350;'1974-07-01 03:00:00';1369
28351;'1975-03-03 03:00:00';3222
28352;'1991-11-02 02:00:00';8491
28353;'1970-01-03 03:00:00';9275
28354;'2012-05-02 03:00:00';6633
28355;'1998-06-09 03:00:00';801
28356;'1977-12-06 03:00:00';4801
28357;'2008-05-25 03:00:00';7602
